C Legend:
C Loading Parameter \lambda (p.u.),  V_{Area 3},  
C Data:
 0.00000   1.08520  
 0.34999   1.07720  
 0.69998   1.06882  
 1.04997   1.06004  
 1.39996   1.05083  
 1.74994   1.04116  
 2.09993   1.03099  
 2.44991   1.02027  
 2.79989   1.00894  
 3.14986   0.99696  
 3.49983   0.98423  
 3.84980   0.97065  
 4.19975   0.95611  
 4.54970   0.94044  
 4.89963   0.92345  
 5.24953   0.90483  
 5.59940   0.88418  
 5.94921   0.86088  
 6.29890   0.83386  
 6.64832   0.80113  
 6.99689   0.75767  
 7.33781   0.67507  
 7.36640   0.64970  
 7.33114   0.60123  
 6.89771   0.49741  
 6.54569   0.44888  
 6.19494   0.40927  
 5.84454   0.37464  
 5.49429   0.34331  
 5.14413   0.31438  
 4.79401   0.28727  
 4.44392   0.26162  
 4.09384   0.23717  
 3.74379   0.21372  
 3.39374   0.19113  
 3.04370   0.16927  
 2.69367   0.14806  
 2.34364   0.12742  
 1.99361   0.10729  
 1.64359   0.08760  
 1.29357   0.06832  
 0.94356   0.04941  
 0.59354   0.03083  
 0.24353   0.01255  
