EIGENVALUE REPORT
 
P S A T  2.1.8
 
Author:  Federico Milano, (c) 2002-2013
e-mail:  Federico.Milano@uclm.es
website: http://www.uclm.es/area/gsee/Web/Federico
 
File:  /Users/jdlara/Dropbox/MATLAB/ECE6613PD/Project2_files/Base_14bus_lambda
Date:  12-Nov-2013 17:52:42


STATE MATRIX EIGENVALUES

Eigevalue      Most Associated States      Real part      Imag. Part     Pseudo-Freq.   Frequency      

Eig As # 1     vm_Exc_1                   -1000.0003      0              0              0             
Eig As # 2     vm_Exc_4                   -1000           0              0              0             
Eig As # 3     vm_Exc_5                   -1000           0              0              0             
Eig As # 4     vm_Exc_3                   -1000           0              0              0             
Eig As # 5     vm_Exc_2                   -1000           0              0              0             
Eig As # 6     vr1_Exc_1, e2q_Syn_1       -44.2967        10.9004        1.7349         7.2603        
Eig As # 7     vr1_Exc_1, e2q_Syn_1       -44.2967       -10.9004        1.7349         7.2603        
Eig As # 8     vr1_Exc_4                  -49.9232        0              0              0             
Eig As # 9     vr1_Exc_5                  -49.9413        0              0              0             
Eig As #10     vr1_Exc_3                  -49.9696        0              0              0             
Eig As #11     vr1_Exc_2                  -49.9812        0              0              0             
Eig As #12     e2d_Syn_1                  -37.6989        0              0              0             
Eig As #13     e2q_Syn_3                  -33.5596        0              0              0             
Eig As #14     e2q_Syn_2                  -31.0258        0              0              0             
Eig As #15     e2q_Syn_5                  -27.6774        0              0              0             
Eig As #16     e2q_Syn_4                  -23.3409        0              0              0             
Eig As #17     e2d_Syn_3                  -17.4055        0              0              0             
Eig As #18     e1q_Syn_1, vf_Exc_1         0.01269        10.9743        1.7466         1.7466        
Eig As #19     e1q_Syn_1, vf_Exc_1         0.01269       -10.9743        1.7466         1.7466        
Eig As #20     e2d_Syn_2                  -14.81          0              0              0             
Eig As #21     e2d_Syn_4                  -13.5861        0              0              0             
Eig As #22     omega_Syn_5, delta_Syn_5   -4.1363         9.8321         1.5648         1.6977        
Eig As #23     omega_Syn_5, delta_Syn_5   -4.1363        -9.8321         1.5648         1.6977        
Eig As #24     omega_Syn_3, delta_Syn_3   -2.8932         9.584          1.5253         1.5933        
Eig As #25     omega_Syn_3, delta_Syn_3   -2.8932        -9.584          1.5253         1.5933        
Eig As #26     omega_Syn_4, delta_Syn_4   -2.4659         8.9528         1.4249         1.4779        
Eig As #27     omega_Syn_4, delta_Syn_4   -2.4659        -8.9528         1.4249         1.4779        
Eig As #28     omega_Syn_2, delta_Syn_2   -2.6217         7.6906         1.224          1.2932        
Eig As #29     omega_Syn_2, delta_Syn_2   -2.6217        -7.6906         1.224          1.2932        
Eig As #30     e2d_Syn_4                  -10.6488        0              0              0             
Eig As #31     e1d_Syn_3                  -8.2129         0              0              0             
Eig As #32     e1d_Syn_2                  -7.13           0              0              0             
Eig As #33     e1q_Syn_4, vf_Exc_4        -0.99279        1.5777         0.2511         0.29668       
