hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0
8, 0.00000, -0.449994, 2.73835E-006, -0.450005, -2.73835E-006
9, 0.00000, -0.657495, 3.78413E-006, -0.657512, -3.78413E-006
10, 0.00000, -1.09822, 5.55331E-006, -1.09824, -5.55331E-006
11, 0.00000, -1.75238, 7.05267E-006, -1.75243, -7.05267E-006
12, 0.00000, -1.93857, 7.2347E-006, -1.93862, -7.2347E-006
13, 0.00000, -2.0654, 7.29687E-006, -2.06546, -7.29687E-006
14, 0.00000, -2.0654, 7.29687E-006, -2.06546, -7.29687E-006
15, 0.00000, -2.09393, 7.30397E-006, -2.09399, -7.30397E-006
16, 0.00000, -2.02981, 7.28448E-006, -2.02987, -7.28448E-006
17, 0.00000, -1.59285, 6.81063E-006, -1.59289, -6.81063E-006
18, 0.00000, -0.910216, 4.87364E-006, -0.910239, -4.87364E-006
19, 0.00000, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0
