hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
1, 0.00000, 120.108, -0.00236998, 120.111, 179.998, 0, 0, 0, 0
2, 0.00000, 120.108, -0.00236998, 120.111, 179.998, 0, 0, 0, 0
3, 0.00000, 120.108, -0.00236998, 120.111, 179.998, 0, 0, 0, 0
4, 0.00000, 120.108, -0.00236998, 120.111, 179.998, 0, 0, 0, 0
5, 0.00000, 120.108, -0.00236998, 120.111, 179.998, 0, 0, 0, 0
6, 0.00000, 120.108, -0.00236998, 120.111, 179.998, 0, 0, 0, 0
7, 0.00000, 120.108, -0.00236998, 120.111, 179.998, 0, 0, 0, 0
8, 0.00000, 120.23, 0.0188767, 120.233, -179.98, 3.74279, -179.981, 3.74279, 0.0192254
9, 0.00000, 120.286, 0.0286595, 120.289, -179.971, 5.46611, -179.971, 5.46611, 0.0289893
10, 0.00000, 120.405, 0.0494074, 120.408, -179.95, 9.12104, -179.95, 9.12104, 0.0496971
11, 0.00000, 120.581, 0.0801283, 120.584, -179.919, 14.5328, -179.92, 14.5328, 0.0803589
12, 0.00000, 120.631, 0.0888558, 120.634, -179.911, 16.0703, -179.911, 16.0703, 0.0890696
13, 0.00000, 120.665, 0.0947968, 120.668, -179.905, 17.1168, -179.905, 17.1168, 0.0949992
14, 0.00000, 120.665, 0.094797, 120.668, -179.905, 17.1169, -179.905, 17.1169, 0.0949994
15, 0.00000, 120.672, 0.0961326, 120.676, -179.903, 17.3522, -179.904, 17.3522, 0.0963325
16, 0.00000, 120.655, 0.09313, 120.659, -179.906, 16.8232, -179.907, 16.8232, 0.0933356
17, 0.00000, 120.538, 0.0726446, 120.541, -179.927, 13.2145, -179.927, 13.2145, 0.0728896
18, 0.00000, 120.354, 0.0405619, 120.357, -179.959, 7.56282, -179.959, 7.56282, 0.0408687
19, 0.00000, 120.108, -0.00236998, 120.111, 179.998, 0, 0, 0, 0
20, 0.00000, 120.108, -0.00236998, 120.111, 179.998, 0, 0, 0, 0
21, 0.00000, 120.108, -0.00236998, 120.111, 179.998, 0, 0, 0, 0
22, 0.00000, 120.108, -0.00236998, 120.111, 179.998, 0, 0, 0, 0
23, 0.00000, 120.108, -0.00236998, 120.111, 179.998, 0, 0, 0, 0
24, 0.00000, 120.108, -0.00236998, 120.111, 179.998, 0, 0, 0, 0
