  , 	  , 	T1, 	T2, 	T3, 	T4, 	T5, 	T6, 	T7, 	T8, 	T9, 	T10, 	T11, 	T12, 	T13, 	T14, 	T15, 	T16, 	T17, 	T18, 	T19,  	T20,  	T21,  	T22,  	T23,  	T24  
K1, 	S1, 	0.074,	0.384,	0.000,	0.274,	0.011,	0.001,	0.233,	0.022,	0.000,	0.373,	0.557,	0.819,	0.820,	0.960,	0.960,	0.971,	0.626,	0.643,	0.346,	0.246,	0.149,	0.185,	0.244,	0.136, 
K1, 	S2, 	0.000,	0.000,	0.000,	0.354,	0.241,	0.412,	0.629,	0.209,	0.193,	0.156,	0.733,	0.708,	0.837,	1.053,	0.835,	0.847,	0.789,	0.576,	0.273,	0.180,	0.175,	0.185,	0.047,	0.160, 
K1, 	S3, 	0.316,	0.000,	0.000,	0.003,	0.081,	0.466,	0.134,	0.000,	0.138,	0.251,	0.864,	0.712,	0.913,	0.756,	0.328,	0.786,	0.787,	0.592,	0.422,	0.273,	0.199,	0.098,	0.167,	0.056, 
K1, 	S4, 	0.000,	0.000,	0.000,	0.275,	0.000,	0.012,	0.036,	0.118,	0.039,	0.172,	0.669,	0.740,	0.780,	0.890,	0.960,	0.728,	0.747,	0.664,	0.458,	0.299,	0.426,	0.000,	0.178,	0.027, 
K1, 	S5, 	0.000,	0.000,	0.021,	0.194,	0.000,	0.000,	0.170,	0.099,	0.198,	0.499,	0.567,	0.982,	0.695,	0.723,	0.313,	0.608,	0.504,	0.712,	0.330,	0.214,	0.005,	0.172,	0.230,	0.101, 
K1, 	S6, 	0.058,	0.344,	0.104,	0.000,	0.000,	0.046,	0.000,	0.002,	0.025,	0.436,	0.961,	0.768,	0.822,	0.365,	0.768,	0.784,	0.814,	0.464,	0.478,	0.080,	0.017,	0.190,	0.105,	0.247, 
K1, 	S7, 	0.387,	0.348,	0.000,	0.042,	0.101,	0.043,	0.233,	0.118,	0.000,	0.373,	0.641,	0.722,	0.869,	0.960,	0.871,	0.732,	0.478,	0.344,	0.429,	0.280,	0.250,	0.027,	0.197,	0.107, 
K1, 	S8, 	0.385,	0.370,	0.287,	0.066,	0.069,	0.272,	0.001,	0.130,	0.000,	0.373,	0.749,	0.758,	0.927,	0.927,	0.652,	1.051,	0.682,	0.550,	0.423,	0.243,	0.198,	0.110,	0.256,	0.089, 
K1, 	S9, 	0.003,	0.023,	0.000,	0.098,	0.000,	0.000,	0.000,	0.181,	0.057,	0.179,	0.576,	0.954,	0.840,	0.755,	0.756,	0.786,	0.536,	0.467,	0.277,	0.215,	0.040,	0.053,	0.000,	0.008, 
K1, 	S10, 	0.349,	0.014,	0.000,	0.182,	0.000,	0.266,	0.231,	0.104,	0.035,	0.489,	0.746,	0.363,	0.780,	0.839,	0.800,	0.732,	0.628,	0.624,	0.201,	0.187,	0.250,	0.382,	0.000,	0.000, 
K1, 	S11, 	0.000,	0.002,	0.000,	0.180,	0.043,	0.290,	0.000,	0.118,	0.193,	0.373,	0.752,	0.945,	0.938,	0.787,	1.009,	0.754,	0.849,	0.341,	0.467,	0.213,	0.307,	0.113,	0.247,	0.140, 
K1, 	S12, 	0.225,	0.183,	0.000,	0.182,	0.117,	0.030,	0.000,	0.000,	0.000,	0.298,	0.687,	0.359,	0.826,	0.383,	0.843,	0.677,	0.605,	0.700,	0.569,	0.144,	0.011,	0.136,	0.127,	0.248, 
K1, 	S13, 	0.410,	0.000,	0.000,	0.013,	0.062,	0.027,	0.087,	0.000,	0.083,	0.319,	0.747,	0.824,	0.958,	0.335,	0.752,	1.034,	0.880,	0.611,	0.203,	0.083,	0.140,	0.003,	0.157,	0.257, 
K1, 	S14, 	0.024,	0.031,	0.000,	0.068,	0.000,	0.000,	0.000,	0.024,	0.000,	0.322,	0.836,	0.289,	0.830,	0.815,	0.761,	0.848,	0.799,	0.441,	0.162,	0.396,	0.002,	0.034,	0.234,	0.182, 
K1, 	S15, 	0.000,	0.283,	0.000,	0.000,	0.000,	0.000,	0.000,	0.091,	0.288,	0.172,	0.517,	0.930,	0.845,	0.756,	0.758,	0.777,	0.657,	0.547,	0.576,	0.239,	0.213,	0.000,	0.270,	0.103, 
K1, 	S16, 	0.000,	0.000,	0.000,	0.000,	0.177,	0.000,	0.000,	0.155,	0.102,	0.451,	0.743,	0.953,	0.829,	0.743,	0.960,	0.922,	0.585,	0.714,	0.409,	0.000,	0.227,	0.197,	0.000,	0.102, 
K1, 	S17, 	0.262,	0.478,	0.000,	0.291,	0.033,	0.000,	0.000,	0.000,	0.250,	0.514,	0.438,	0.722,	0.722,	0.643,	0.757,	0.764,	0.595,	0.886,	0.498,	0.202,	0.306,	0.184,	0.049,	0.174, 
K1, 	S18, 	0.380,	0.361,	0.143,	0.000,	0.003,	0.000,	0.000,	0.000,	0.198,	0.562,	0.680,	0.878,	0.721,	0.358,	0.705,	0.750,	0.717,	0.508,	0.457,	0.344,	0.019,	0.016,	0.149,	0.239, 
K1, 	S19, 	0.419,	0.191,	0.422,	0.067,	0.332,	0.000,	0.088,	0.511,	0.242,	0.431,	0.952,	0.853,	0.718,	0.750,	0.830,	0.689,	0.484,	0.735,	0.179,	0.184,	0.250,	0.416,	0.165,	0.242, 
K1, 	S20, 	0.009,	0.000,	0.430,	0.340,	0.000,	0.489,	0.000,	0.000,	0.000,	0.176,	0.832,	0.963,	1.006,	0.849,	0.776,	0.673,	0.789,	0.470,	0.365,	0.466,	0.166,	0.223,	0.171,	0.000, 
K1, 	S21, 	0.026,	0.000,	0.000,	0.000,	0.061,	0.268,	0.000,	0.486,	0.252,	0.358,	0.694,	0.851,	0.820,	0.426,	0.883,	0.966,	0.734,	0.611,	0.279,	0.174,	0.381,	0.179,	0.123,	0.136, 
K1, 	S22, 	0.000,	0.004,	0.020,	0.000,	0.077,	0.000,	0.000,	0.159,	0.267,	0.170,	0.642,	0.960,	0.960,	0.889,	0.937,	0.871,	0.810,	0.568,	0.433,	0.194,	0.249,	0.396,	0.248,	0.010, 
K1, 	S23, 	0.391,	0.432,	0.000,	0.000,	0.164,	0.000,	0.000,	0.000,	0.000,	0.266,	0.750,	0.824,	0.892,	0.774,	0.960,	0.786,	0.884,	0.607,	0.482,	0.079,	0.122,	0.000,	0.049,	0.086, 
