  , 	T1, 	T2, 	T3, 	T4, 	T5, 	T6, 	T7, 	T8, 	T9, 	T10, 	T11, 	T12, 	T13, 	T14, 	T15, 	T16, 	T17, 	T18, 	T19,  	T20,  	T21,  	T22,  	T23,  	T24  
K1, 	0.426,	0.512,	0.440,	0.381,	0.691,	0.500,	0.629,	0.511,	0.302,	0.562,	1.009,	1.021,	1.080,	1.053,	1.009,	1.051,	0.945,	0.912,	0.693,	0.477,	0.426,	0.416,	0.270,	0.288, 
K2, 	0.458,	0.657,	0.392,	0.457,	0.310,	0.473,	0.329,	0.233,	0.560,	0.964,	1.053,	1.034,	1.067,	1.053,	0.996,	1.007,	0.887,	0.647,	0.514,	0.393,	0.443,	0.333,	0.430,	0.436, 
K3, 	0.353,	0.484,	0.408,	0.383,	0.464,	0.351,	0.263,	0.540,	0.987,	1.063,	1.023,	1.076,	1.056,	1.025,	1.012,	0.926,	0.589,	0.443,	0.422,	0.446,	0.326,	0.343,	0.257,	0.313, 
K4, 	0.269,	0.609,	0.369,	0.523,	0.450,	0.265,	0.710,	0.947,	1.090,	1.051,	1.056,	1.015,	1.007,	1.002,	0.854,	0.614,	0.490,	0.440,	0.380,	0.365,	0.289,	0.283,	0.316,	0.395, 
K5, 	0.496,	0.380,	0.548,	0.334,	0.255,	0.514,	1.043,	1.035,	1.068,	1.090,	1.032,	1.044,	1.016,	0.947,	0.740,	0.556,	0.355,	0.495,	0.348,	0.384,	0.367,	0.301,	0.284,	0.298, 
K6, 	0.326,	0.465,	0.644,	0.269,	0.498,	1.086,	1.043,	1.062,	1.049,	1.058,	0.993,	0.966,	0.900,	0.649,	0.515,	0.408,	0.387,	0.457,	0.410,	0.465,	0.304,	0.335,	0.360,	0.422, 
K7, 	0.476,	0.356,	0.519,	0.600,	0.930,	1.032,	1.090,	1.028,	0.993,	1.048,	1.011,	0.867,	0.683,	0.497,	0.401,	0.425,	0.419,	0.319,	0.307,	0.360,	0.264,	0.321,	0.468,	0.499, 
K8, 	0.344,	0.282,	0.619,	1.022,	1.041,	1.095,	1.065,	1.021,	0.966,	0.986,	0.932,	0.685,	0.513,	0.387,	0.476,	0.338,	0.425,	0.290,	0.300,	0.334,	0.305,	0.308,	0.512,	0.472, 
K9, 	0.405,	0.611,	0.994,	1.024,	1.037,	1.089,	1.076,	0.986,	1.038,	0.938,	0.690,	0.519,	0.377,	0.328,	0.362,	0.281,	0.328,	0.398,	0.391,	0.376,	0.268,	0.385,	0.322,	0.555, 
K10, 	0.589,	0.995,	1.029,	1.042,	0.960,	1.023,	1.050,	0.929,	0.908,	0.661,	0.516,	0.389,	0.365,	0.360,	0.304,	0.482,	0.481,	0.384,	0.472,	0.466,	0.329,	0.645,	0.473,	0.279, 
K11, 	1.023,	1.056,	1.083,	1.055,	1.051,	1.026,	0.955,	0.913,	0.590,	0.522,	0.422,	0.358,	0.292,	0.359,	0.431,	0.264,	0.428,	0.337,	0.336,	0.546,	0.530,	0.430,	0.474,	0.607, 
K12, 	1.061,	1.057,	1.072,	1.039,	1.052,	0.959,	0.923,	0.673,	0.505,	0.358,	0.341,	0.358,	0.341,	0.456,	0.476,	0.262,	0.323,	0.383,	0.249,	0.499,	0.362,	0.306,	0.563,	0.839, 
K13, 	1.054,	1.057,	1.060,	1.045,	0.930,	0.916,	0.625,	0.492,	0.401,	0.285,	0.373,	0.332,	0.370,	0.290,	0.403,	0.271,	0.622,	0.383,	0.513,	0.529,	0.447,	0.553,	0.884,	0.980, 
K14, 	1.028,	1.040,	1.057,	1.015,	0.855,	0.694,	0.502,	0.418,	0.282,	0.326,	0.300,	0.292,	0.305,	0.260,	0.314,	0.467,	0.505,	0.443,	0.480,	0.308,	0.586,	0.813,	0.938,	0.977, 
K15, 	1.055,	1.052,	0.997,	0.810,	0.687,	0.552,	0.371,	0.272,	0.296,	0.271,	0.451,	0.336,	0.338,	0.292,	0.340,	0.535,	0.427,	0.339,	0.299,	0.604,	0.813,	0.974,	1.049,	1.057, 
K16, 	1.043,	1.026,	0.849,	0.745,	0.458,	0.365,	0.386,	0.386,	0.430,	0.241,	0.341,	0.273,	0.285,	0.379,	0.238,	0.515,	0.411,	0.315,	0.548,	0.879,	0.952,	0.995,	1.060,	1.088, 
K17, 	0.920,	0.891,	0.773,	0.398,	0.402,	0.320,	0.348,	0.480,	0.252,	0.537,	0.286,	0.423,	0.249,	0.307,	0.364,	0.417,	0.353,	0.604,	0.857,	0.973,	0.984,	1.056,	1.079,	1.054, 
K18, 	0.942,	0.691,	0.451,	0.403,	0.482,	0.423,	0.277,	0.353,	0.347,	0.267,	0.333,	0.347,	0.416,	0.305,	0.343,	0.306,	0.623,	0.783,	0.882,	0.970,	1.040,	1.063,	1.046,	0.961, 
K19, 	0.714,	0.556,	0.380,	0.259,	0.336,	0.236,	0.351,	0.415,	0.281,	0.358,	0.267,	0.439,	0.302,	0.400,	0.297,	0.620,	0.813,	0.990,	1.038,	1.051,	1.034,	1.064,	1.025,	0.886, 
K20, 	0.507,	0.411,	0.458,	0.338,	0.395,	0.427,	0.496,	0.303,	0.320,	0.390,	0.346,	0.405,	0.499,	0.499,	0.615,	0.861,	0.989,	1.049,	1.057,	1.023,	1.058,	0.956,	0.821,	0.567, 
K21, 	0.388,	0.422,	0.457,	0.292,	0.568,	0.426,	0.344,	0.418,	0.566,	0.384,	0.449,	0.333,	0.415,	0.605,	0.792,	0.980,	0.955,	0.987,	1.037,	1.023,	1.051,	0.850,	0.502,	0.405, 
K22, 	0.501,	0.354,	0.286,	0.342,	0.284,	0.333,	0.425,	0.611,	0.402,	0.472,	0.417,	0.278,	0.552,	0.834,	1.000,	1.030,	1.082,	1.092,	1.056,	0.984,	0.827,	0.591,	0.396,	0.535, 
K23, 	0.356,	0.424,	0.398,	0.300,	0.467,	0.245,	0.347,	0.360,	0.391,	0.431,	0.391,	0.540,	0.841,	0.963,	1.047,	0.963,	1.052,	1.066,	0.952,	0.837,	0.526,	0.394,	0.479,	0.468, 
K24, 	0.351,	0.413,	0.428,	0.287,	0.238,	0.378,	0.615,	0.389,	0.470,	0.442,	0.529,	0.685,	0.917,	1.002,	1.047,	1.040,	1.025,	1.066,	0.937,	0.581,	0.398,	0.493,	0.465,	0.553, 
